Name;Industry;Sub Industry;Date added
Delta Air Lines;Industrials;Airlines;2013
DuPont;Materials;Specialty Chemicals;2019
John Deere;Industrials;Agricultural And Farm Machinery;1957
Discover Financial;Financials;Consumer Finance;2007
Dollar General;Consumer Discretionary;General Merchandise Stores;2012
Quest Diagnostics;Health Care;Health Care Services;2002
DR Horton;Consumer Discretionary;Homebuilding;2005
Disney;Communication Services;Movies And Entertainment;1976
Dish Network;Communication Services;Cable And Satellite;2017
Digital Realty;Real Estate;Specialized REITs;2016
Dollar Tree;Consumer Discretionary;General Merchandise Stores;2011
Dover Corporation;Industrials;Industrial Machinery;1985
Dow Inc;Materials;Commodity Chemicals;2019
Domino s;Consumer Discretionary;Restaurants;2020
DTE Energy;Utilities;Multi Utilities;1957
Duke Energy;Utilities;Electric Utilities;1976
DaVita Inc;Health Care;Health Care Facilities;2008
Devon Energy;Energy;Oil And Gas Exploration And Production;2000
DXC Technology;Information Technology;IT Consulting And Other Services;2017
Dexcom;Health Care;Health Care Equipment;2020
Electronic Arts;Communication Services;Interactive Home Entertainment;2002
eBay;Consumer Discretionary;Internet And Direct Marketing Retail;2002
Ecolab;Materials;Specialty Chemicals;1989
Equifax;Industrials;Research And Consulting Services;1997
Edison International;Utilities;Electric Utilities;1957
The Esta e Lauder Companies;Consumer Staples;Personal Products;2006
Elevance Health;Health Care;Managed Health Care;2002
Eastman Chemical Company;Materials;Diversified Chemicals;1994
Emerson Electric;Industrials;Electrical Components And Equipment;1965
Enphase;Information Technology;Electronic Components;2021
EOG Resources;Energy;Oil And Gas Exploration And Production;2000
EPAM Systems;Information Technology;IT Consulting And Other Services;2021
Equinix;Real Estate;Specialized REITs;2015
Equity Residential;Real Estate;Residential REITs;2001
EQT;Energy;Oil And Gas Exploration And Production;2022
Essex Property Trust;Real Estate;Residential REITs;2014
Entergy;Utilities;Electric Utilities;1957
Etsy;Consumer Discretionary;Internet And Direct Marketing Retail;2020
Evergy;Utilities;Electric Utilities;2018
Edwards Lifesciences;Health Care;Health Care Equipment;2011
Exelon;Utilities;Multi Utilities;1957
Expeditors International;Industrials;Air Freight And Logistics;2007
Expedia Group;Consumer Discretionary;Internet And Direct Marketing Retail;2007
Extra Space Storage;Real Estate;Specialized REITs;2016
Ford Motor Company;Consumer Discretionary;Automobile Manufacturers;1957
Diamondback Energy;Energy;Oil And Gas Exploration And Production;2018
Fastenal;Industrials;Building Products;2008
FactSet;Financials;Financial Exchanges And Data;2021
FedEx;Industrials;Air Freight And Logistics;1980
F5 Inc;Information Technology;Communications Equipment;2010
FIS;Information Technology;Data Processing And Outsourced Services;2006
Fiserv;Information Technology;Data Processing And Outsourced Services;2001
Fleetcor;Information Technology;Data Processing And Outsourced Services;2018
FMC Corporation;Materials;Fertilizers And Agricultural Chemicals;2009
Fox Corporation Class B;Communication Services;Movies And Entertainment;2015
Fox Corporation Class A;Communication Services;Movies And Entertainment;2013
First Republic Bank;Financials;Regional Banks;2019
Federal Realty;Real Estate;Retail REITs;2016
First Solar;Information Technology;Semiconductors;2022
Fortinet;Information Technology;Systems Software;2018
Fortive;Industrials;Industrial Machinery;2016
General Dynamics;Industrials;Aerospace And Defense;1957
GE HealthCare;Health Care;Health Care Technology;2023
Gen Digital;Information Technology;Application Software;2003
Gilead Sciences;Health Care;Biotechnology;2004
General Mills;Consumer Staples;Packaged Foods And Meats;1969
Globe Life;Financials;Life And Health Insurance;1989
General Motors;Consumer Discretionary;Automobile Manufacturers;2013
Generac;Industrials;Electrical Components And Equipment;2021
Alphabet Inc Class C;Communication Services;Interactive Media And Services;2006
Alphabet Inc Class A;Communication Services;Interactive Media And Services;2014
Genuine Parts Company;Consumer Discretionary;Specialty Stores;1973
Global Payments;Information Technology;Data Processing And Outsourced Services;2016
Garmin;Consumer Discretionary;Consumer Electronics;2012
Goldman Sachs;Financials;Investment Banking And Brokerage;2002
W W Grainger;Industrials;Industrial Machinery;1981
Halliburton;Energy;Oil And Gas Equipment And Services;1957
Hasbro;Consumer Discretionary;Leisure Products;1984
HCA Healthcare;Health Care;Health Care Facilities;2015
Home Depot The;Consumer Discretionary;Home Improvement Retail;1988
Hess Corporation;Energy;Integrated Oil And Gas;1984
Hartford The;Financials;Property And Casualty Insurance;1957
Huntington Ingalls Industries;Industrials;Aerospace And Defense;2018
Hilton Worldwide;Consumer Discretionary;Hotels  Resorts And Cruise Lines;2017
Hologic;Health Care;Health Care Equipment;2016
Honeywell;Industrials;Industrial Conglomerates;1964
Hewlett Packard Enterprise;Information Technology;Technology Hardware  Storage And Peripherals;2015
HP Inc;Information Technology;Technology Hardware  Storage And Peripherals;1974
Hormel Foods;Consumer Staples;Packaged Foods And Meats;2009
Henry Schein;Health Care;Health Care Distributors;2015
Host Hotels And Resorts;Real Estate;Hotel And Resort REITs;2007
Hershey s;Consumer Staples;Packaged Foods And Meats;1957
Howmet Aerospace;Industrials;Aerospace And Defense;1964
IBM;Information Technology;IT Consulting And Other Services;1957
Intercontinental Exchange;Financials;Financial Exchanges And Data;2007
Idexx Laboratories;Health Care;Health Care Equipment;2017
IDEX Corporation;Industrials;Industrial Machinery;2019
International Flavors And Fragrances;Materials;Specialty Chemicals;1976
Illumina;Health Care;Life Sciences Tools And Services;2015
Incyte;Health Care;Biotechnology;2017
Intel;Information Technology;Semiconductors;1976
Intuit;Information Technology;Application Software;2000
Invitation Homes;Real Estate;Residential REITs;2022
International Paper;Materials;Paper Packaging;1957
The Interpublic Group of Companies;Communication Services;Advertising;1992
IQVIA;Health Care;Life Sciences Tools And Services;2017
Ingersoll Rand;Industrials;Industrial Machinery;2020
Iron Mountain;Real Estate;Specialized REITs;2009
Intuitive Surgical;Health Care;Health Care Equipment;2008
Gartner;Information Technology;IT Consulting And Other Services;2017
Illinois Tool Works;Industrials;Industrial Machinery;1986
Invesco;Financials;Asset Management And Custody Banks;2008
Jacobs Solutions;Industrials;Construction And Engineering;2007
JB Hunt;Industrials;Trucking;2015
Johnson Controls;Industrials;Building Products;2010
Jack Henry And Associates;Information Technology;Data Processing And Outsourced Services;2018
Johnson And Johnson;Health Care;Pharmaceuticals;1973
Juniper Networks;Information Technology;Communications Equipment;2006
JPMorgan Chase;Financials;Diversified Banks;1975
Kellogg s;Consumer Staples;Packaged Foods And Meats;1989
Keurig Dr Pepper;Consumer Staples;Soft Drinks;2022
KeyCorp;Financials;Regional Banks;1994
Keysight;Information Technology;Electronic Equipment And Instruments;2018
Kraft Heinz;Consumer Staples;Packaged Foods And Meats;2015
Kimco Realty;Real Estate;Retail REITs;2006
Kimberly Clark;Consumer Staples;Household Products;1957
Kinder Morgan;Energy;Oil And Gas Storage And Transportation;2012
CarMax;Consumer Discretionary;Automotive Retail;2010
The Coca Cola Company;Consumer Staples;Soft Drinks;1957
Kroger;Consumer Staples;Food Retail;1957
Leidos;Industrials;Diversified Support Services;2019
Lennar;Consumer Discretionary;Homebuilding;2005
LabCorp;Health Care;Health Care Services;2004
LeHarris;Industrials;Aerospace And Defense;2008
Linde plc;Materials;Industrial Gases;1992
LKQ Corporation;Consumer Discretionary;Distributors;2016
Eli Lilly and Company;Health Care;Pharmaceuticals;1970
Lockheed Martin;Industrials;Aerospace And Defense;1984
Lincoln Financial;Financials;Multi line Insurance;1976
Alliant Energy;Utilities;Electric Utilities;2016
Lowe s;Consumer Discretionary;Home Improvement Retail;1984
Lam Research;Information Technology;Semiconductor Equipment;2012
Lumen Technologies;Communication Services;Alternative Carriers;1999
Southwest Airlines;Industrials;Airlines;1994
Las Vegas Sands;Consumer Discretionary;Casinos And Gaming;2019
Lamb Weston;Consumer Staples;Packaged Foods And Meats;2018
LyondellBasell;Materials;Specialty Chemicals;2012
Live Nation Entertainment;Communication Services;Movies And Entertainment;2019
Mastercard;Information Technology;Data Processing And Outsourced Services;2008
Mid America Apartment Communities;Real Estate;Residential REITs;2016
Masco;Industrials;Building Products;1981
McDonald s;Consumer Discretionary;Restaurants;1970
Microchip Technology;Information Technology;Semiconductors;2007
Mondelez International;Consumer Staples;Packaged Foods And Meats;2012
Medtronic;Health Care;Health Care Equipment;1986
Meta Platforms;Communication Services;Interactive Media And Services;2013
MGM Resorts;Consumer Discretionary;Casinos And Gaming;2017
Mohawk Industries;Consumer Discretionary;Home Furnishings;2013
McCormick And Company;Consumer Staples;Packaged Foods And Meats;2003
MarketAxess;Financials;Financial Exchanges And Data;2019
Martin Marietta Materials;Materials;Construction Materials;2014
Marsh McLennan;Financials;Insurance Brokers;1987
3M;Industrials;Industrial Conglomerates;1976
Monster Beverage;Consumer Staples;Soft Drinks;2012
Altria;Consumer Staples;Tobacco;1957
Molina Healthcare;Health Care;Managed Health Care;2022
The Mosaic Company;Materials;Fertilizers And Agricultural Chemicals;2011
Marathon Petroleum;Energy;Oil And Gas Refining And Marketing;2011
Monolithic Power Systems;Information Technology;Semiconductors;2021
Merck And Co;Health Care;Pharmaceuticals;1957
Moderna;Health Care;Biotechnology;2021
Marathon Oil;Energy;Oil And Gas Exploration And Production;1991
MSCI;Financials;Financial Exchanges And Data;2018
Microsoft;Information Technology;Systems Software;1994
MAndT Bank;Financials;Regional Banks;2004
Match Group;Communication Services;Interactive Media And Services;2021
Mettler Toledo;Health Care;Life Sciences Tools And Services;2016
Micron Technology;Information Technology;Semiconductors;1994
Norwegian Cruise Line Holdings;Consumer Discretionary;Hotels  Resorts And Cruise Lines;2017
Nasdaq Inc;Financials;Financial Exchanges And Data;2008
Nordson Corporation;Industrials;Industrial Machinery;2022
NextEra Energy;Utilities;Multi Utilities;1976
Newmont;Materials;Gold;1969
Netflix;Communication Services;Movies And Entertainment;2010
Nike Inc;Consumer Discretionary;Apparel  Accessories And Luxury Goods;1988
Northrop Grumman;Industrials;Aerospace And Defense;1985
ServiceNow;Information Technology;Systems Software;2019
NRG Energy;Utilities;Independent Power Producers And Energy Traders;2010
Norfolk Southern Railway;Industrials;Railroads;1957
NetApp;Information Technology;Technology Hardware  Storage And Peripherals;1999
Nucor;Materials;Steel;1985
Nvidia;Information Technology;Semiconductors;2001
NVR Inc;Consumer Discretionary;Homebuilding;2019
Newell Brands;Consumer Discretionary;Housewares And Specialties;1989
News Corp Class B;Communication Services;Publishing;2015
News Corp Class B;Communication Services;Publishing;2013
NXP Semiconductors;Information Technology;Semiconductors;2021
Realty Income;Real Estate;Retail REITs;2015
Old Dominion;Industrials;Trucking;2019
Organon And Co;Health Care;Pharmaceuticals;2021
ONEOK;Energy;Oil And Gas Storage And Transportation;2010
ON Semiconductor;Information Technology;Semiconductors;2022
Oracle Corporation;Information Technology;Application Software;1989
O Reilly Auto Parts;Consumer Discretionary;Specialty Stores;2009
Otis Worldwide;Industrials;Industrial Machinery;2020
Occidental Petroleum;Energy;Oil And Gas Exploration And Production;1982
Paycom;Information Technology;Application Software;2020
Paccar;Industrials;Construction Machinery And Heavy Trucks;1980
PGAndE Corporation;Utilities;Multi Utilities;2022
Healthpeak;Real Estate;Health Care REITs;2008
Public Service Enterprise Group;Utilities;Electric Utilities;1957
PepsiCo;Consumer Staples;Soft Drinks;1957
Pfizer;Health Care;Pharmaceuticals;1957
Principal Financial Group;Financials;Life And Health Insurance;2002
Procter And Gamble;Consumer Staples;Personal Products;1957
Progressive Corporation;Financials;Property And Casualty Insurance;1997
Parker Hannifin;Industrials;Industrial Machinery;1985
PulteGroup;Consumer Discretionary;Homebuilding;1984
Packaging Corporation of America;Materials;Paper Packaging;2017
PerkinElmer;Health Care;Health Care Equipment;1985
Prologis;Real Estate;Industrial REITs;2003
Philip Morris International;Consumer Staples;Tobacco;2008
PNC Financial Services;Financials;Regional Banks;1988
Pentair;Industrials;Industrial Machinery;2012
Pool Corporation;Consumer Discretionary;Distributors;2020
PPG Industries;Materials;Specialty Chemicals;1957
Prudential Financial;Financials;Life And Health Insurance;2002
Public Storage;Real Estate;Specialized REITs;2005
Phillips 66;Energy;Oil And Gas Refining And Marketing;2012
PTC;Information Technology;Application Software;2021
Quanta Services;Industrials;Construction And Engineering;2009
Pioneer Natural Resources;Energy;Oil And Gas Exploration And Production;2008
PayPal;Information Technology;Data Processing And Outsourced Services;2015
Qorvo;Information Technology;Semiconductors;2015
Royal Caribbean Group;Consumer Discretionary;Hotels  Resorts And Cruise Lines;2014
Everest Re;Financials;Reinsurance;2017
Regency Centers;Real Estate;Retail REITs;2017
Regeneron;Health Care;Biotechnology;2013
Regions Financial Corporation;Financials;Regional Banks;1998
Robert Half;Industrials;Human Resource And Employment Services;2000
Raymond James;Financials;Investment Banking And Brokerage;2017
Ralph Lauren Corporation;Consumer Discretionary;Apparel  Accessories And Luxury Goods;2007
ResMed;Health Care;Health Care Equipment;2017
Rollins Inc;Industrials;Environmental And Facilities Services;2018
Roper Technologies;Information Technology;Electronic Equipment And Instruments;2009
Ross Stores;Consumer Discretionary;Apparel Retail;2009
Republic Services;Industrials;Environmental And Facilities Services;2008
SBA Communications;Real Estate;Specialized REITs;2017
Signature Bank;Financials;Regional Banks;2021
Starbucks;Consumer Discretionary;Restaurants;2000
Charles Schwab Corporation;Financials;Investment Banking And Brokerage;1997
SolarEdge;Information Technology;Semiconductor Equipment;2021
Sealed Air;Materials;Paper Packaging;1957
Sherwin Williams;Materials;Specialty Chemicals;1964
SVB Financial;Financials;Regional Banks;2018
The JM Smucker Company;Consumer Staples;Packaged Foods And Meats;2008
Schlumberger;Energy;Oil And Gas Equipment And Services;1965
Snap on;Industrials;Industrial Machinery;1982
Synopsys;Information Technology;Application Software;2017
Southern Company;Utilities;Electric Utilities;1957
Simon Property Group;Real Estate;Retail REITs;2002
Steris;Health Care;Health Care Equipment;2019
Steel Dynamics;Materials;Steel;2022
Seagate Technology;Information Technology;Technology Hardware  Storage And Peripherals;2012
Constellation Brands;Consumer Staples;Distillers And Vintners;2005
Stanley Black And Decker;Industrials;Industrial Machinery;1982
Skyworks Solutions;Information Technology;Semiconductors;2015
Synchrony Financial;Financials;Consumer Finance;2015
Stryker Corporation;Health Care;Health Care Equipment;2000
Sysco;Consumer Staples;Food Distributors;1986
ATAndT;Communication Services;Integrated Telecommunication Services;1983
Molson Coors Beverage Company;Consumer Staples;Brewers;1976
TransDigm Group;Industrials;Aerospace And Defense;2016
Teledyne Technologies;Information Technology;Electronic Equipment And Instruments;2020
Bio Techne;Health Care;Life Sciences Tools And Services;2021
TE Connectivity;Information Technology;Electronic Manufacturing Services;2011
Teradyne;Information Technology;Semiconductor Equipment;2020
Truist;Financials;Regional Banks;1997
Teleflex;Health Care;Health Care Equipment;2019
Target Corporation;Consumer Discretionary;General Merchandise Stores;1976
TJX Companies;Consumer Discretionary;Apparel Retail;1985
Thermo Fisher Scientific;Health Care;Life Sciences Tools And Services;2004
T Mobile US;Communication Services;Wireless Telecommunication Services;2019
Targa Resources;Energy;Oil And Gas Storage And Transportation;2022
Trimble Inc;Information Technology;Electronic Equipment And Instruments;2021
The Travelers Companies;Financials;Property And Casualty Insurance;2002
Tractor Supply;Consumer Discretionary;Specialty Stores;2014
Tesla Inc;Consumer Discretionary;Automobile Manufacturers;2020
Tyson Foods;Consumer Staples;Packaged Foods And Meats;2005
Trane Technologies;Industrials;Building Products;2010
Take Two Interactive;Communication Services;Interactive Home Entertainment;2018
Textron;Industrials;Aerospace And Defense;1978
Tyler Technologies;Information Technology;Application Software;2020
United Airlines Holdings;Industrials;Airlines;2015
UDR Inc;Real Estate;Residential REITs;2016
Universal Health Services;Health Care;Health Care Facilities;2014
Ulta Beauty;Consumer Discretionary;Specialty Stores;2016
UnitedHealth Group;Health Care;Managed Health Care;1994
Union Pacific Corporation;Industrials;Railroads;1957
United Parcel Service;Industrials;Air Freight And Logistics;2002
United Rentals;Industrials;Trading Companies And Distributors;2014
Visa Inc;Information Technology;Data Processing And Outsourced Services;2009
VF Corporation;Consumer Discretionary;Apparel  Accessories And Luxury Goods;1979
Vici Properties;Real Estate;Hotel And Resort REITs;2022
Vulcan Materials Company;Materials;Construction Materials;1999
Verisk;Industrials;Research And Consulting Services;2015
Verisign;Information Technology;Internet Services And Infrastructure;2006
Vertex Pharmaceuticals;Health Care;Biotechnology;2013
Ventas;Real Estate;Health Care REITs;2009
Viatris;Health Care;Pharmaceuticals;2004
Verizon;Communication Services;Integrated Telecommunication Services;1983
Wabtec;Industrials;Construction Machinery And Heavy Trucks;2019
Walgreens Boots Alliance;Consumer Staples;Drug Retail;1979
Warner Bros Discovery;Communication Services;Broadcasting;2022
Western Digital;Information Technology;Technology Hardware  Storage And Peripherals;2009
WEC Energy Group;Utilities;Electric Utilities;2008
Welltower;Real Estate;Health Care REITs;2009
Wells Fargo;Financials;Diversified Banks;1976
Williams Companies;Energy;Oil And Gas Storage And Transportation;1975
Walmart;Consumer Staples;Hypermarkets And Super Centers;1982
Berkley;Financials;Property And Casualty Insurance;2019
West Pharmaceutical Services;Health Care;Health Care Supplies;2020
Willis Towers Watson;Financials;Insurance Brokers;2016
Wynn Resorts;Consumer Discretionary;Casinos And Gaming;2008
Xcel Energy;Utilities;Multi Utilities;1957
ExxonMobil;Energy;Integrated Oil And Gas;1957
Dentsply Sirona;Health Care;Health Care Supplies;2008
Xylem Inc;Industrials;Industrial Machinery;2011
Yum Brands;Consumer Discretionary;Restaurants;1997
Zimmer Biomet;Health Care;Health Care Equipment;2001
Zebra Technologies;Information Technology;Electronic Equipment And Instruments;2019
Zions Bancorporation;Financials;Regional Banks;2001
Zoetis;Health Care;Pharmaceuticals;2013

